date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:08:19	243/243	---MCZ	403	error ('Forbidden')	application/xml	date:Sun,%2026%20Apr%202020%2023:08:19%20GMT	http://static-public.klickpages.com.br/app/assets/stylesheets/fancybox_sprite.png	C:/Users/RafaeL/Desktop/site/Pagina%20Upsell/static-public.klickpages.com.br/app/assets/stylesheets/fancybox_sprite.png	(from http://static-public.klickpages.com.br/app/assets/stylesheets/publish.css?v=1587942316)
20:08:19	243/243	---MCZ	403	error ('Forbidden')	application/xml	date:Sun,%2026%20Apr%202020%2023:08:20%20GMT	http://static-public.klickpages.com.br/app/assets/stylesheets/fancybox_loading.gif	C:/Users/RafaeL/Desktop/site/Pagina%20Upsell/static-public.klickpages.com.br/app/assets/stylesheets/fancybox_loading.gif	(from http://static-public.klickpages.com.br/app/assets/stylesheets/publish.css?v=1587942316)
20:08:20	243/243	---MCZ	403	error ('Forbidden')	application/xml	date:Sun,%2026%20Apr%202020%2023:08:20%20GMT	http://static-public.klickpages.com.br/app/assets/stylesheets/blank.gif	C:/Users/RafaeL/Desktop/site/Pagina%20Upsell/static-public.klickpages.com.br/app/assets/stylesheets/blank.gif	(from http://static-public.klickpages.com.br/app/assets/stylesheets/publish.css?v=1587942316)
20:08:20	243/243	---MCZ	403	error ('Forbidden')	application/xml	date:Sun,%2026%20Apr%202020%2023:08:21%20GMT	http://static-public.klickpages.com.br/app/assets/stylesheets/fancybox_overlay.png	C:/Users/RafaeL/Desktop/site/Pagina%20Upsell/static-public.klickpages.com.br/app/assets/stylesheets/fancybox_overlay.png	(from http://static-public.klickpages.com.br/app/assets/stylesheets/publish.css?v=1587942316)
20:08:20	243/243	---MCZ	403	error ('Forbidden')	application/xml	date:Sun,%2026%20Apr%202020%2023:08:21%20GMT	http://static-public.klickpages.com.br/app/assets/stylesheets/fancybox_sprite@2x.png	C:/Users/RafaeL/Desktop/site/Pagina%20Upsell/static-public.klickpages.com.br/app/assets/stylesheets/fancybox_sprite@2x.png	(from http://static-public.klickpages.com.br/app/assets/stylesheets/publish.css?v=1587942316)
20:08:22	243/243	---MCZ	403	error ('Forbidden')	application/xml	date:Sun,%2026%20Apr%202020%2023:08:21%20GMT	http://static-public.klickpages.com.br/app/assets/stylesheets/fancybox_loading@2x.gif	C:/Users/RafaeL/Desktop/site/Pagina%20Upsell/static-public.klickpages.com.br/app/assets/stylesheets/fancybox_loading@2x.gif	(from http://static-public.klickpages.com.br/app/assets/stylesheets/publish.css?v=1587942316)
20:08:23	243/243	---MCZ	403	error ('Forbidden')	application/xml	date:Sun,%2026%20Apr%202020%2023:08:23%20GMT	http://static-public.klickpages.com.br/app/assets/stylesheets/images/bx_loader.gif	C:/Users/RafaeL/Desktop/site/Pagina%20Upsell/static-public.klickpages.com.br/app/assets/stylesheets/images/bx_loader.gif	(from http://static-public.klickpages.com.br/app/assets/stylesheets/publish.css?v=1587942316)
20:08:23	48982/48982	---MC-	200	added ('OK')	application/javascript	date:Sun,%2026%20Apr%202020%2023:07:45%20GMT	https://apis.google.com/js/plus.js	C:/Users/RafaeL/Desktop/site/Pagina%20Upsell/apis.google.com/js/plus.js	(from https://tenhaseunegocioonline.kpages.online/pagina-7gratis344119)
20:08:23	243/243	---MCZ	403	error ('Forbidden')	application/xml	date:Sun,%2026%20Apr%202020%2023:08:23%20GMT	http://static-public.klickpages.com.br/app/assets/stylesheets/images/controls.png	C:/Users/RafaeL/Desktop/site/Pagina%20Upsell/static-public.klickpages.com.br/app/assets/stylesheets/images/controls.png	(from http://static-public.klickpages.com.br/app/assets/stylesheets/publish.css?v=1587942316)
20:08:24	3666/3666	---M--	200	added ('OK')	text/html	etag:%222cca4860cddc4acff22576d4de18955e%22	http://static-public.klickpages.com.br/app/assets/stylesheets/logos/logo-kp-white.png	C:/Users/RafaeL/Desktop/site/Pagina%20Upsell/static-public.klickpages.com.br/app/assets/stylesheets/logos/logo-kp-white.html	(from http://static-public.klickpages.com.br/app/assets/stylesheets/publish.css?v=1587942316)
20:08:24	2553/2553	---MCZ	200	added ('OK')	image/svg+xml	date:Thu,%2007%20Jan%202016%2012:38:46%20GMT	http://static-public.klickpages.com.br/app/assets/stylesheets/launchblog/error-video.svg	C:/Users/RafaeL/Desktop/site/Pagina%20Upsell/static-public.klickpages.com.br/app/assets/stylesheets/launchblog/error-video.svg	(from http://static-public.klickpages.com.br/app/assets/stylesheets/publish.css?v=1587942316)
20:08:25	3574/3574	---MCZ	200	added ('OK')	image/svg+xml	date:Thu,%2007%20Jan%202016%2012:38:18%20GMT	http://static-public.klickpages.com.br/app/assets/stylesheets/launchblog/error-protection.svg	C:/Users/RafaeL/Desktop/site/Pagina%20Upsell/static-public.klickpages.com.br/app/assets/stylesheets/launchblog/error-protection.svg	(from http://static-public.klickpages.com.br/app/assets/stylesheets/publish.css?v=1587942316)
20:08:25	3528/3528	---MCZ	200	added ('OK')	image/svg+xml	date:Thu,%2007%20Jan%202016%2012:38:32%20GMT	http://static-public.klickpages.com.br/app/assets/stylesheets/launchblog/error-sale.svg	C:/Users/RafaeL/Desktop/site/Pagina%20Upsell/static-public.klickpages.com.br/app/assets/stylesheets/launchblog/error-sale.svg	(from http://static-public.klickpages.com.br/app/assets/stylesheets/publish.css?v=1587942316)
20:08:26	157/157	---M--	200	added ('OK')	image/png	etag:%22cedcd4a4f3cf3c298b4c909b4157637a%22	http://static-public.klickpages.com.br/tmp/zip/739/images/lock.png?v=1509387969	C:/Users/RafaeL/Desktop/site/Pagina%20Upsell/static-public.klickpages.com.br/tmp/zip/739/images/lockb1f5.png	(from http://static-public.klickpages.com.br/tmp/zip/739/styles/main.css?v=1509387969)
